REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable,HPI,HPI_RPI,HPI_RPI_AVG,HPI_YDH,HPI_YDH_AVG,RHP,RPI,imputed_rent_yoy,real_estate_excl_imputed_yoy,HPI_yoy,RPI_yoy
ITA,Italy,2012,V,Current prices,1448020965000.0,199877575000.0,132466660000.0,67410914999.99999,0.6627389790975801,0.1380350007570505,0.09148117548146134,True,116.642208394479,117.986662289878,106.427887016372,119.393760776563,121.316052299663,118.418670523364,98.8731044755048,2.769317755738321,0.7695077312677379,-2.547992873389837,2.181578362557013
ITA,Italy,2013,V,Current prices,1444106062000.0,201030650000.0,135418082000.0,65612568000.0,0.673619082463296,0.1392076768389052,0.09377294754407035,True,109.032727418181,108.845070404549,98.1818675982515,111.49843352498,113.293606842328,109.461918335714,100.17460113667,2.2280489294438377,-2.667738599898828,-6.523779925842166,1.3163303287272
ITA,Italy,2014,V,Current prices,1457859174000.0,203587451000.0,136862872000.0,66724579000.0,0.6722559338885774,0.139648228464624,0.09387935024237122,True,103.94974012565,104.090618145116,93.8931937933395,105.470288406303,107.168405963063,104.100235632498,99.8650932115992,1.06691069513154,1.6948140179485094,-4.661891353993064,-0.30896846262311595
ITA,Italy,2015,V,Current prices,1488049000000.0,205209600000.0,138959900000.0,66249700000.0,0.6771608150885728,0.13790513618839165,0.09338395442623193,True,100.0,100.0,90.2033204014983,100.0,101.610043532088,100.0,100.0,1.5322110148324297,-0.7117002566625397,-3.7996632996635915,0.13508903267627215
ITA,Italy,2016,V,Current prices,1522753800000.0,207370600000.0,140995100000.0,66375500000.0,0.6799184648161312,0.13618130521165012,0.09259218397616213,True,100.261249346876,99.9609656499861,90.1681101216885,98.7453673421661,100.335210742295,99.7421169734347,100.300361151325,1.4645951817754632,0.189887652321441,0.26124934687599133,0.3003611513250126
ITA,Italy,2017,V,Current prices,1557795800000.0,209694800000.0,142973000000.0,66721800000.0,0.681814713574204,0.13460994053264233,0.09177903804850418,True,99.1575021062446,98.6641344740453,88.9983253409881,95.3510890182809,96.8862830597952,97.332658496259,100.500345272586,1.4028147077451703,0.5217286498783391,-1.100871221754618,0.19938524544220737
ITA,Italy,2018,V,Current prices,1589576200000.0,212350200000.0,145192400000.0,67157800000.0,0.6837403496676716,0.13358919188649152,0.09134032077229139,True,98.6057534856161,97.7423742998654,88.1668670577393,93.239599202877,94.7407973391878,95.5196388060087,100.883639838997,1.5523210676141597,0.6534595889199579,-0.5564365871553734,0.3813863179985999
ITA,Italy,2019,V,Current prices,1611368500000.0,216862600000.0,146970400000.0,69892200000.0,0.6777120628453224,0.13458287163985147,0.09120843556269097,True,98.5185037037406,97.389928481188,87.848949226676,92.2562222610757,93.741587600539,94.5867415429143,101.158618005731,1.2245820029147536,4.071604489724212,-0.08848345942432667,0.2725696328689686
ITA,Italy,2020,V,Current prices,1496321900000.0,213196600000.0,150515300000.0,62681300000.0,0.7059929661167205,0.14248043819982853,0.10059018717830702,True,100.406498983752,99.0199588481152,89.3192907411971,96.0217886789562,97.567781276977,96.1459355479619,101.400273818259,2.4119822767033394,-10.317174162495956,1.9163864746554404,0.23888801299589701
ITA,Italy,2021,V,Current prices,1644016400000.0,216931900000.0,152114700000.0,64817200000.0,0.7012094578989997,0.13195239414886614,0.09252626676960157,True,102.904242739393,101.440334710342,91.502550135122,93.2801536711323,94.7820047520362,97.1267187934538,101.441945509527,1.0626162257258986,3.4075553634018485,2.48763155863565,0.04109623149803898
